"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1002.0","1003.0","2025/07/01 23:43:00","1000.9","2025/07/01 16:31:00","29.7","33.4","2025/07/01 13:04:00","25.9","2025/07/01 05:23:00","75","62","2025/07/01 13:04:00","0.9","330","6.1","280","2025/07/01 15:26:00","0.0"
"02","1001.0","1002.9","2025/07/02 00:16:00","998.9","2025/07/02 17:04:00","30.5","34.8","2025/07/02 14:48:00","26.6","2025/07/02 05:13:00","68","53","2025/07/02 14:48:00","1.5","82","8.1","96","2025/07/02 19:47:00","0.0"
"03","999.2","1001.5","2025/07/03 07:18:00","997.1","2025/07/03 16:51:00","30.7","34.7","2025/07/03 13:44:00","27.3","2025/07/03 05:20:00","64","51","2025/07/03 18:21:00","1.5","85","7.2","211","2025/07/03 14:55:00","0.0"
"04","998.4","1000.2","2025/07/04 20:40:00","996.8","2025/07/04 15:11:00","29.6","33.8","2025/07/04 12:48:00","25.6","2025/07/04 20:53:00","70","54","2025/07/04 11:17:00","1.4","177","7.9","185","2025/07/04 19:01:00","0.0"
"05","998.3","999.9","2025/07/05 08:31:00","996.8","2025/07/05 16:58:00","28.5","30.7","2025/07/05 14:37:00","24.8","2025/07/05 21:51:00","75","65","2025/07/05 09:55:00","1.2","321","10.1","241","2025/07/05 21:02:00","0.0"
"06","993.7","997.7","2025/07/06 00:01:00","986.6","2025/07/07 00:00:00","28.3","31.1","2025/07/06 13:47:00","25.7","2025/07/06 03:53:00","76","55","2025/07/06 20:41:00","1.1","82","11.4","88","2025/07/06 21:15:00","0.0"
"07","992.1","994.3","2025/07/07 09:03:00","985.7","2025/07/07 02:31:00","26.5","29.4","2025/07/07 15:16:00","22.7","2025/07/07 07:51:00","82","68","2025/07/07 20:41:00","3.9","226","17.5","230","2025/07/07 07:48:00","48.5"
"08","993.0","996.8","2025/07/08 22:21:00","990.2","2025/07/08 17:03:00","29.5","32.5","2025/07/08 16:09:00","22.8","2025/07/08 23:11:00","67","49","2025/07/08 17:41:00","4.3","239","14.6","241","2025/07/08 05:11:00","40.0"
"09","993.8","996.0","2025/07/09 02:22:00","992.5","2025/07/09 18:53:00","23.0","23.9","2025/07/09 14:10:00","21.2","2025/07/09 02:41:00","95","89","2025/07/09 04:41:00","1.8","149","9.8","178","2025/07/09 03:20:00","154.0"
"10","993.3","995.2","2025/07/10 22:35:00","991.7","2025/07/10 03:28:00","24.3","26.3","2025/07/10 13:02:00","22.2","2025/07/10 05:53:00","92","86","2025/07/10 09:53:00","0.7","89","3.5","91","2025/07/10 06:35:00","6.0"
"11","996.8","999.6","2025/07/11 22:32:00","993.9","2025/07/11 03:39:00","25.0","27.7","2025/07/11 15:45:00","22.8","2025/07/11 05:21:00","90","74","2025/07/11 14:31:00","0.8","100","4.5","193","2025/07/11 08:19:00","15.0"
"12","999.9","1001.2","2025/07/12 21:37:00","998.2","2025/07/12 03:21:00","27.4","30.4","2025/07/12 12:18:00","23.4","2025/07/12 05:01:00","85","69","2025/07/12 10:03:00","1.7","263","9.6","256","2025/07/12 15:27:00","0.0"
"13","998.8","1000.4","2025/07/13 00:21:00","996.8","2025/07/13 16:42:00","28.8","31.6","2025/07/13 15:37:00","25.9","2025/07/13 05:33:00","79","66","2025/07/13 15:57:00","3.2","254","13.6","263","2025/07/13 12:25:00","0.0"
"14","996.7","998.2","2025/07/14 00:02:00","994.6","2025/07/14 16:19:00","28.3","30.8","2025/07/14 17:18:00","26.5","2025/07/14 03:51:00","81","70","2025/07/14 17:18:00","3.3","242","11.7","246","2025/07/14 16:21:00","2.0"
"15","995.7","997.5","2025/07/15 21:52:00","994.1","2025/07/15 16:11:00","29.4","33.1","2025/07/15 13:47:00","26.5","2025/07/15 08:03:00","76","58","2025/07/15 12:00:00","3.5","254","12.4","254","2025/07/15 12:12:00","0.0"
"16","997.0","997.9","2025/07/16 07:02:00","996.1","2025/07/16 14:43:00","29.5","32.7","2025/07/16 12:19:00","26.3","2025/07/16 05:41:00","76","65","2025/07/16 13:48:00","2.0","235","11.1","265","2025/07/16 12:54:00","0.0"
"17","996.8","998.0","2025/07/17 10:59:00","994.9","2025/07/17 16:20:00","29.9","33.5","2025/07/17 10:29:00","26.3","2025/07/17 05:53:00","72","52","2025/07/17 10:04:00","1.0","267","6.5","252","2025/07/17 13:05:00","0.0"
"18","991.1","995.9","2025/07/18 00:01:00","986.3","2025/07/18 17:56:00","30.3","34.6","2025/07/18 14:13:00","26.6","2025/07/18 06:20:00","69","50","2025/07/18 14:14:00","1.7","84","10.8","102","2025/07/18 18:23:00","1.5"
"19","986.6","990.3","2025/07/19 22:08:00","982.7","2025/07/19 11:48:00","29.0","33.8","2025/07/19 14:29:00","26.2","2025/07/19 01:01:00","73","51","2025/07/19 12:31:00","2.2","89","12.1","124","2025/07/19 09:07:00","0.5"
"20","992.4","995.7","2025/07/20 22:57:00","989.7","2025/07/20 01:39:00","27.3","32.2","2025/07/20 12:07:00","24.6","2025/07/20 23:41:00","86","65","2025/07/20 11:53:00","0.9","236","5.7","206","2025/07/20 15:40:00","12.0"
"21","997.4","999.1","2025/07/21 20:25:00","994.5","2025/07/21 00:25:00","26.1","28.2","2025/07/21 13:54:00","24.5","2025/07/21 00:11:00","90","81","2025/07/21 12:51:00","1.3","90","4.7","99","2025/07/21 08:34:00","6.0"
"22","996.7","998.3","2025/07/22 00:10:00","995.0","2025/07/22 17:30:00","27.7","32.1","2025/07/22 14:15:00","24.0","2025/07/22 04:51:00","80","61","2025/07/22 13:41:00","0.9","282","4.6","256","2025/07/22 15:16:00","0.0"
"23","993.9","995.9","2025/07/23 00:31:00","990.5","2025/07/23 17:08:00","29.9","34.8","2025/07/23 13:51:00","25.4","2025/07/23 05:56:00","66","46","2025/07/23 15:00:00","2.8","61","15.9","49","2025/07/23 16:34:00","0.0"
"24","993.3","994.9","2025/07/24 08:26:00","991.0","2025/07/24 17:18:00","28.5","31.9","2025/07/24 13:54:00","25.8","2025/07/24 21:11:00","73","59","2025/07/24 10:21:00","2.6","56","12.3","48","2025/07/24 13:16:00","0.5"
"25","990.4","992.5","2025/07/25 00:04:00","988.5","2025/07/25 18:13:00","26.0","28.4","2025/07/25 13:52:00","23.7","2025/07/25 06:27:00","91","76","2025/07/25 00:11:00","1.2","17","9.6","325","2025/07/25 12:45:00","98.5"
"26","990.7","992.9","2025/07/26 23:19:00","989.1","2025/07/26 03:49:00","28.7","32.4","2025/07/26 15:27:00","25.0","2025/07/26 05:56:00","74","56","2025/07/26 15:22:00","3.0","236","15.2","247","2025/07/26 13:59:00","1.0"
"27","991.3","992.8","2025/07/27 08:45:00","989.2","2025/07/27 15:25:00","28.5","30.5","2025/07/27 11:05:00","24.0","2025/07/27 22:33:00","79","67","2025/07/27 11:01:00","4.0","244","13.8","217","2025/07/27 13:38:00","37.0"
"28","989.6","991.6","2025/07/28 00:10:00","987.8","2025/07/28 16:43:00","26.5","30.1","2025/07/28 13:18:00","23.9","2025/07/28 00:11:00","87","73","2025/07/28 13:20:00","1.7","263","10.2","214","2025/07/28 00:03:00","21.0"
